"FECHA","EQUIPO","VPNNAME","VPNID","SERVNAME","SERVID","PDN_IPV4_ACTIVE","PDN_IPV4_SETUP","PDN_IPV4_RELEASED","PDN_IPV6_ACTIVE","PDN_IPV6_SETUP","PDN_IPV6_RELEASED","PDN_IPV4V6_ACTIVE","PDN_IPV4V6_SETUP","PDN_IPV4V6_RELEASED","NUM_GTP_BEARER_MODIFIED","NUM_GTP_DB_ACTIVE","NUM_GTP_DB_RELEASED","CURSESS","CURSES_PMIPV6_IPV4","CURSES_PMIPV6_IPV6","CURSES_PMIPV6_IPV4V6","CURSES_GTP_IPV4","TOTPMIPV6_SUCCESS","TOTPMIPV6_FAILURE","PGW_FALLBACK_ATTEMPTED","PGW_FALLBACK_SUCCEEDED","PGW_FALLBACK_FAILED","PGW_FALLBACK_NO_ALTERNATE_PGW","TOTGTP_ATTEMPT","TOTGTP_SUCCESS","TOTGTP_FAILURE","DISCONNECT_TOTAL","DISCONNECT_LOCAL","DISCONNECT_UE","DISCONNECT_PGW","DISCONNECT_REMOTE","SESS_DCON_REMOTE","SESS_DCON_ADMIN","SESS_DCON_IDLE_TIMEOUT","SESS_DCON_ABS_TIMEOUT","SESS_DCON_LONGDUR_TIMEOUT","SESS_DCON_SESSSETUP_TIMEOUT","SESS_DCON_NORESOURCE","SESS_DCON_AUTHFAIL","SESS_DCON_FLOWADD_FAILURE","SESS_DCON_INVALID_DEST","SESS_DCON_SRCADDR_VIOLATION","SESS_DCON_LMAREVOC","SESS_DCON_DUPREQ","SESS_DCON_ADDRASSIGN_FAILURE","SESS_DCON_HANDOFF","SESS_DCON_MISC","REAUTH_ATTEMPT","REAUTH_SUCCESS","REAUTH_FAILURE","REAUTHOR_ATTEMPT","REAUTHOR_SUCCESS","REAUTHOR_FAILURE","TXBYTES","TXPKTS","RXBYTES","RXPKTS","PKT_VIOLATION","EAP_RXTTLSRVRPASSTHRU","NUM_QCI1_BEARER_ACTIVE","NUM_QCI1_BEARER_SETUP","NUM_QCI1_BEARER_RELEASED","NUM_QCI2_BEARER_ACTIVE","NUM_QCI2_BEARER_SETUP","NUM_QCI2_BEARER_RELEASED","NUM_QCI3_BEARER_ACTIVE","NUM_QCI3_BEARER_SETUP","NUM_QCI3_BEARER_RELEASED","NUM_QCI4_BEARER_ACTIVE","NUM_QCI4_BEARER_SETUP","NUM_QCI4_BEARER_RELEASED","NUM_QCI5_BEARER_ACTIVE","NUM_QCI5_BEARER_SETUP","NUM_QCI5_BEARER_RELEASED","NUM_QCI6_BEARER_ACTIVE","NUM_QCI6_BEARER_SETUP","NUM_QCI6_BEARER_RELEASED","NUM_QCI7_BEARER_ACTIVE","NUM_QCI7_BEARER_SETUP","NUM_QCI7_BEARER_RELEASED","APN_EPDG_GTPV2_SUCCESS_RATE","TX_THROUGHPUT","RX_THROUGHPUT","APN_EPDG_SYS_THROUGHPUT"
25.12.2016 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,10.1429,14.4286,14.4286,0,0,0,0.7857,1.7143,1.8571,0,0.5,6.4286,10.9286,0,0,0,10.1429,0,0,0,0,0,0,16.1429,16.1429,0,17,2.8571,11,2.4286,0.7143,4.7143,0,0,0,0,0.7143,0,2.4286,0,0,0,0,2.8571,0,2.2857,6.2857,0,0,0,0,0,0,4716127.4286,68433.4286,4604452.1429,66114.1429,0,56.2857,0.5,6.7143,6.4286,0,1,1,0,0,0,0,0,0,-5522100776.7143,16.1429,16.2857,0,0,0,0,0,0,100,0.01,0.014,0.0198
01.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,9.6786,23.2857,24.7143,0,0,0,1.8571,-613566468,-613566466.8571,0.8571,0.6071,8.7143,11.5357,0,0,0,9.6786,0,0,0,0,0,0,27,27,0,35.5714,8.5714,18.8571,1.4286,6.5714,8,0,0,0,0,6.5714,0,7.1429,0,0,0,0,8.5714,0,1,10.8571,0,0,0,0,0,0,4879479.1429,69307.2857,3969140.2857,55463,0,115.5714,0.6071,8.4286,8.7143,0,0,0,0,0,0,0,0,0,11.5357,27,29,0,0,0,0,0,0,100,0.0103,0.0116,0.0188
08.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,16.25,25,23.5,2.625,3.5,2.5,1.5,5.5,5.5,0,0.375,10.5,20.375,0,0,0,16.25,0,0,0,0,0,0,34,34,0,32.5,5.5,25.5,0.5,1,14.5,0,0,0,0,1,0,50.5,0,0,0,0,5.5,0,0,11,0,0,0,0,0,0,4467469,58267.5,4220901,52927.5,0,210.5,0.375,11,10.5,0,0,0,0,0,0,0,0,0,20.375,34,31.5,0,0,0,0,0,0,100,0.0095,0.009,0.0184
08.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,8.1071,41.1429,40.4286,0.7143,0,0.2857,1.3214,4.1429,4.7143,2.2857,0.5,12.8571,10.1429,0,0,0,8.1071,0,0,0,0,0,0,45.2857,45.2857,0,46.5714,8.8571,33,1.5714,1.1429,25.5714,0,0,0,0,1.1429,0,6.8571,0,0,0,0,8.8571,0,0.1429,7.4286,0,0,0,0,0,0,4341291.1429,56871.5714,4122168.8571,48770.8571,0,150.2857,0.5,13,12.7143,0,0.1429,0.1429,0,0,0,0,0,0,10.1429,45.2857,45.4286,0,0,0,0,0,0,100,0.0092,0.0137,0.0179
15.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,9.4643,19.2857,19.2857,0.7857,0.5714,0.7143,2.0357,5.1429,4.5714,0.2857,0.5714,5.5714,12.2857,0,0,0,9.4643,0,0,0,0,0,0,25,25,0,25.5714,4.5714,18.8571,1,1,12.7143,0,0,0,0,1,0,7.1429,0,0,0,0,4.5714,0,1,6.1429,0,0,0,0,0,0,4836536.8571,613626594.7143,4737239.7143,55874.1429,0,94.5714,0.5714,5.2857,5.5714,0,0,0,0,0,0,0,0,0,12.2857,25,24.5714,0,0,0,0,0,0,100,0.0103,0.0147,0.0203
15.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,25.5,57.4286,58.5714,2.75,1.8571,2.1429,6.0714,14.2857,13.2857,2.2857,0.75,14.8571,34.3214,0,0,0,25.5,0,0,0,0,0,0,73.5714,73.5714,0,84.8571,24.1429,47.5714,2,10.8571,28.4286,0,0,0,0,10.8571,0,44,0,0,0,0,24.1429,0,1.1429,19.1429,0,0,0,0,0,0,8878635.2857,111492.7143,6774373.4286,79161.5714,0,365.7143,0.75,15,14.8571,0,0,0,0,0,0,0,0,0,34.3214,73.5714,74,0,0,0,0,0,0,100,0.0188,0.0212,0.0332
29.01.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,13.875,27.5,26,0.1875,0.5,0.75,2.1875,2,1.5,2.5,0.6875,9.75,16.25,0,0,0,13.875,0,0,0,0,0,0,30,30,0,28.25,3.5,24.75,0,0,12.5,0,0,0,0,0,0,5.25,0,0,0,0,3.5,0,0,12.25,0,0,0,0,0,0,3384514,49732.25,1077017774,45145.5,0,102.75,0.6875,10.25,9.75,0,0,0,0,0,0,0,0,0,16.25,30,28.25,0,0,0,0,0,0,100,0.0072,3.0418,2.2897
29.01.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,46.125,107,106.25,1.8125,4,3.5,7.75,18,18.5,8.5,1.3125,27.75,55.6875,0,0,0,46.125,0,0,0,0,0,0,129.5,129,0.5,145,29.5,95.5,1,17,50.25,0,0,0,0,16.75,0,127.5,0,0,0,0,29.5,0,1,45.5,0,0,0,0,0,0,10331785,130934.75,7987125.25,92403.25,0,798,1.3125,28.5,27.75,0,0,0,0,0,0,0,0,0,55.6875,129,128.25,0,0,0,0,0,0,99.537,0.0219,0.0203,0.0388
05.02.2017 00:00:00,"TOR-ASR5K5-3","ePDG",5,"epdg_svc",10,358.9583,521.1667,513.3333,1.25,3.1667,3.3333,2,2.6667,3,17,10.7917,96.1667,362.2083,0,0,0,358.9583,0,0,0,0,0,0,527,527,0,542,19,499,1.6667,22.3333,289.6667,0,0,0,0,22.3333,0,13.5,0,0,0,0,19,0,1,209.3333,0,0,0,0,0,0,43853004,604479.5,40530710.5,543006.6667,0,1659,10.7917,94.5,96.1667,0,0,0,0,0,0,0,0,0,362.2083,527,715828402.3333,0,0,0,0,0,0,100,0.093,0.093,0.1789
05.02.2017 00:00:00,"TOR-ASR5K5-1","ePDG",6,"epdg_svc",21,379.875,532.5,521.3333,2,4.8333,4.6667,12.625,22.5,23.3333,26.8333,9.9167,83.1667,394.5,0,0,0,379.875,0,0,0,0,0,0.1667,560.3333,559.8333,0.5,571.6667,42.5,505.6667,1,22.3333,300.3333,0,0,0,0,22.1667,0,196.1667,0,0,0,0,42.5,0,1,205.5,0,0,0,0,0,0,45073340.1667,560614.5,41416613.6667,492022.1667,0,2292.3333,9.9167,83.8333,83.1667,0,0,0,0,0,0,0,0,0,394.5,559.8333,549.3333,0,0,0,0,0,0,99.9139,0.0955,0.1027,0.1833
