"FECHA","EQUIPO","VPNNAME","VPNID","SERVNAME","SERVID","CGW_SESTAT_TOTCUR_UEACTIVE","CGW_SESTAT_TOTCUR_UESETUP","CGW_SESTAT_TOTCUR_UERELEASED","CGW_SESTAT_TOTCUR_PDNACTIVE","CGW_SESTAT_TOTCUR_PDNSETUP","CGW_SESTAT_TOT_PDNRELEASED","CGW_SESTAT_TOT_PDNREJECTED","CGW_SESTAT_TOTCUR_PDN_IPV4","CGW_SESTAT_TOTCUR_PDN_IPV6","CGW_SESTAT_TOTCUR_PDN_IPV4V6","CGW_SESTAT_PDNSETUPTYPE_IPV4","CGW_SESTAT_PDNSETUPTYPE_IPV6","CGW_SESTAT_PDNSETUPTYPE_IPV4V6","CGW_SESTAT_PDNREL_IPV4","CGW_SESTAT_PDNREL_IPV6","CGW_SESTAT_PDNREL_IPV4V6","CGW_SEST_GNU_UL_PKTS","CGW_SEST_GNU_UL_BYTES","CGW_SEST_GNU_UL_DROP_PKTS","CGW_SEST_GNU_UL_DROP_BYTES","CGW_SEST_GNU_DL_PKTS","CGW_SEST_GNU_DL_BYTES","CGW_SEST_GNU_DL_DROP_PKTS","CGW_SEST_GNU_DL_DROP_BYTES","CGW_SEST_DHCP_DISC_HO_RCVED","CGW_SEST_DHCP_DISC_HO_ACTED","CGW_SEST_DHCP_DISC_HO_DEN","CGW_SEST_UPD_DEN_NO_SESSMGR","CGW_SEST_UPD_DEN_NO_MEMORY","CGW_SEST_UPD_DEN_SESMGR_RJTED","CGW_SEST_UPD_DEN_IN_QUEUE_EXC","CGW_SEST_UPD_DEN_SIM_BIND_EXC","CGW_SEST_UPD_DEN_ALLOC_FAIL","THROUGHPUT_UL","THROUGHPUT_DL"
25.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,184,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,188,187,0,2,2,0,0,0,0,2,0,0,2,0,0,26696,2934735,0,0,34926,42797189,0,0,0,0,0,0,0,0,0,0,0,0.0062,0.0907
27.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,191,190,0,0,0,0,0,0,0,0,0,0,0,0,0,23757,6989369,0,0,23031,23055726,0,0,0,0,0,0,0,0,0,0,0,0.0148,0.0489
28.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,1,192.5,192,1,1,1,0,1,0,0,1,0,0,1,0,0,1411,197626,0,0,1845,867767,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0018
29.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,-4294967292,224.25,223,-4294967292,2,2,0,-4294967292,0,0,2,0,0,2,0,0,8744,643095,0,0,16656,22037317,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.0467
30.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,-4294967291,228.75,227.75,1,5,4,0,1,0,0,5,0,0,4,0,0,19422,3469332,0,0,22370,22577190,0,0,0,0,0,0,0,0,0,0,0,0.0074,0.0478
31.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,1,244.5,243.75,1,4,5,0,1,0,0,4,0,0,5,0,0,28644,6180962,0,0,42426,53704939,0,0,0,0,0,0,0,0,0,0,0,0.0131,0.1138
03.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,262.75,262.25,0,2,3,0,0,0,0,2,0,0,3,0,0,25429,15251878,0,0,27123,29617678,0,0,0,0,0,0,0,0,0,0,0,0.0323,0.0628
